prov,year,ldeaths,x1,x2,ltotpop,lurbpop,ydum2,ydum3,ydum4,ydum5,ydum6,ydum7,ydum8,ydum9,ydum10,ydum11,ydum12,ydum13,ydum14,ydum15,ydum16,ydum17,ydum18,ydum19,ydum20,ydum21,ydum22,ydum23,ydum24,ydum25,ydum26,ydum27,ydum28,ydum29,ydum30
140000,1974,7.4994187,0,6.3981171,7.7414899,5.8773437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
140000,1975,7.4280252,0,6.4723935,7.7579188,5.897511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
140000,1976,7.4280314,0,6.5087476,7.7719312,5.9274592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
140000,1977,7.3594537,0,6.5661001,7.7825737,5.9422741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
140000,1978,7.3482833,0,6.5056086,7.7930093,5.9758177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
140000,1979,7.3703771,0,6.6787076,7.8026996,6.0292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
140000,1980,7.3899374,0,6.6227517,7.8145852,6.0863428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
140000,1981,7.4180746,0,6.6757326,7.827548,6.1292896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
140000,1982,7.4297891,0,6.6671286,7.842279,6.1626201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
210000,1953,7.4691958,0,6.1586599,7.6200185,6.3919172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210000,1954,7.6126027,0,6.4121227,7.6744781,6.5610309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210000,1955,7.2881694,0,6.2954836,7.7036848,6.5930448,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210000,1956,7.6816111,0,6.4759011,7.7434864,6.6227365,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
