prov,year,ldeaths,x1,x2,ltotpop,lurbpop,ydum2,ydum3,ydum4,ydum5,ydum6,ydum7,ydum8,ydum9,ydum10,ydum11,ydum12,ydum13
370000,1965,8.6400986,0,7.1914701,8.6501493,6.1158919,0,0,0,0,0,0,0,0,0,0,0,1
410000,1953,8.6817074,0,6.8210583,8.3950253,5.7037826,0,0,0,0,0,0,0,0,0,0,0,0
410000,1954,8.5863457,0,7.0052223,8.4250774,5.8464389,1,0,0,0,0,0,0,0,0,0,0,0
410000,1955,8.7815247,0,6.8705101,8.4450521,5.9215784,0,1,0,0,0,0,0,0,0,0,0,0
410000,1956,8.6278286,0,7.0744877,8.4623146,5.7397928,0,0,1,0,0,0,0,0,0,0,0,0
410000,1957,8.7228994,0,6.9909792,8.4846697,5.8406415,0,0,0,1,0,0,0,0,0,0,0,0
410000,1958,8.8493176,7.0762782,0,8.5057278,6.1224928,0,0,0,0,1,0,0,0,0,0,0,0
410000,1959,9.8882179,7.0540977,0,8.5129843,6.2225761,0,0,0,0,0,1,0,0,0,0,0,0
410000,1960,8.499917,6.8834305,0,8.480114,6.2766433,0,0,0,0,0,0,1,0,0,0,0,0
410000,1961,8.2588396,0,6.9401755,8.4769964,6.0161572,0,0,0,0,0,0,0,1,0,0,0,0
410000,1962,8.4464312,0,7.0303984,8.5051203,5.9107966,0,0,0,0,0,0,0,0,1,0,0,0
410000,1963,8.5835791,0,6.4824781,8.5243673,5.9584246,0,0,0,0,0,0,0,0,0,1,0,0
410000,1964,8.3683805,0,6.8333106,8.5367994,6.0234475,0,0,0,0,0,0,0,0,0,0,1,0
410000,1965,8.370492,0,6.9977956,8.5640764,6.0544395,0,0,0,0,0,0,0,0,0,0,0,1
420000,1953,8.4017172,0,6.7645688,7.9398718,5.8141303,0,0,0,0,0,0,0,0,0,0,0,0
420000,1954,8.10888,0,6.7419057,7.9604597,5.889349,1,0,0,0,0,0,0,0,0,0,0,0
420000,1955,8.054451,0,6.9044981,7.9765644,5.9637852,0,1,0,0,0,0,0,0,0,0,0,0
420000,1956,7.954278,0,6.9683313,7.9940586,5.9520998,0,0,1,0,0,0,0,0,0,0,0,0
420000,1957,7.9861355,0,6.9453278,8.0269575,6.0442467,0,0,0,1,0,0,0,0,0,0,0,0
420000,1958,8.424592,6.9692984,0,8.0537186,6.1086917,0,0,0,0,1,0,0,0,0,0,0,0
420000,1959,8.8143644,6.8663955,0,8.0624771,6.2677126,0,0,0,0,0,1,0,0,0,0,0,0
420000,1960,7.9593353,6.9739032,0,8.0558462,6.3292933,0,0,0,0,0,0,1,0,0,0,0,0
420000,1961,7.9343185,0,6.9506793,8.065567,6.1958332,0,0,0,0,0,0,0,1,0,0,0,0
420000,1962,8.0766001,0,6.9006133,8.0937462,6.1324649,0,0,0,0,0,0,0,0,1,0,0,0
420000,1963,8.206583,0,6.9356332,8.1167421,6.1554947,0,0,0,0,0,0,0,0,0,1,0,0
420000,1964,8.1408062,0,7.055635,8.1368141,6.174036,0,0,0,0,0,0,0,0,0,0,1,0
420000,1965,8.1292915,0,7.0463719,8.1618147,6.1943235,0,0,0,0,0,0,0,0,0,0,0,1
430000,1953,8.678525,0,6.790936,8.1166258,5.7414637,0,0,0,0,0,0,0,0,0,0,0,0
430000,1954,8.6322842,0,6.8273063,8.1400299,5.8381095,1,0,0,0,0,0,0,0,0,0,0,0
430000,1955,8.2933559,0,6.8854446,8.1527252,5.7457237,0,1,0,0,0,0,0,0,0,0,0,0
430000,1956,8.2028208,0,7.1020784,8.1626387,5.8971262,0,0,1,0,0,0,0,0,0,0,0,0
430000,1957,8.34231,0,7.020648,8.1895885,5.9086261,0,0,0,1,0,0,0,0,0,0,0,0
430000,1958,8.4702826,7.1071501,0,8.2086878,6.2420483,0,0,0,0,1,0,0,0,0,0,0,0
430000,1959,9.2929993,7.0416708,0,8.2139101,6.3286862,0,0,0,0,0,1,0,0,0,0,0,0
430000,1960,8.7386169,6.9122334,0,8.1801443,6.2194366,0,0,0,0,0,0,1,0,0,0,0,0
430000,1961,8.1855354,0,6.9769735,8.162796,6.0671515,0,0,0,0,0,0,0,1,0,0,0,0
430000,1962,8.2144289,0,6.9814711,8.1887617,5.967505,0,0,0,0,0,0,0,0,1,0,0,0
430000,1963,8.473278,0,6.8421946,8.2201881,6.0050716,0,0,0,0,0,0,0,0,0,1,0,0
430000,1964,8.3512707,0,6.9396143,8.2388353,6.0159864,0,0,0,0,0,0,0,0,0,0,1,0
430000,1965,8.2839975,0,7.0852175,8.2691088,6.0375366,0,0,0,0,0,0,0,0,0,0,0,1
440000,1953,8.1139259,0,6.7832184,8.000598,6.1605744,0,0,0,0,0,0,0,0,0,0,0,0
